latency,average,timestamp,callback_time
10629632,22.476069,1743572642266523392,1743572642277153024
10720512,22.476113,1743572642329177856,1743572642339898368
11774208,22.471463,1743572642393057536,1743572642404831744
8635392,22.469733,1743572642454150400,1743572642462785792
9996800,22.459679,1743572642517983232,1743572642527980032
10157568,22.467423,1743572642580225024,1743572642590382592
10475008,22.460871,1743572642642540288,1743572642653015296
12886528,22.462191,1743572642704824576,1743572642717711104
9292032,22.463139,1743572642765893888,1743572642775185920
11381760,22.460868,1743572642829282304,1743572642840664064
11407104,22.450081,1743572642890904320,1743572642902311424
9269760,22.447874,1743572642952649472,1743572642961919232
15916800,22.445287,1743572643016041728,1743572643031958528
9879040,22.444395,1743572643077573632,1743572643087452672
9006336,22.446833,1743572643138936576,1743572643147942912
10802176,22.443811,1743572643202234112,1743572643213036288
9543936,22.444278,1743572643264366592,1743572643273910528
8951296,22.440835,1743572643326445568,1743572643335396864
8353024,22.450779,1743572643388829696,1743572643397182720
10018560,22.456616,1743572643449781504,1743572643459800064
8537600,22.453574,1743572643512151040,1743572643520688640
10824960,22.459903,1743572643572572672,1743572643583397632
9708544,22.462489,1743572643636118528,1743572643645827072
11378432,22.455458,1743572643699521024,1743572643710899456
8478976,22.458023,1743572643762107136,1743572643770586112
10054912,22.464953,1743572643825148672,1743572643835203584
9325824,22.463161,1743572643887395584,1743572643896721408
9931008,22.462931,1743572643950629120,1743572643960560128
9927936,22.461275,1743572644013796096,1743572644023724032
8689664,22.455764,1743572644076530176,1743572644085219840
8647680,22.451291,1743572644138709248,1743572644147356928
13034240,22.445052,1743572644202121472,1743572644215155712
9807872,22.455759,1743572644265540096,1743572644275347968
10201600,22.453581,1743572644327834880,1743572644338036480
10251264,22.442537,1743572644390044672,1743572644400295936
8770048,22.431666,1743572644452326912,1743572644461096960
11323392,22.436501,1743572644513283584,1743572644524606976
8823296,22.429677,1743572644577054208,1743572644585877504
9757952,22.429041,1743572644638168832,1743572644647926784
9949184,22.428472,1743572644701116928,1743572644711066112
11487488,22.425014,1743572644763877376,1743572644775364864
9270272,22.428675,1743572644827328512,1743572644836598784
11147776,22.429456,1743572644889564416,1743572644900712192
9122048,22.431955,1743572644951763712,1743572644960885760
11354624,22.424516,1743572645013826560,1743572645025181184
8441344,22.417887,1743572645077727744,1743572645086169088
11034624,22.415920,1743572645139856128,1743572645150890752
8798208,22.423454,1743572645203542784,1743572645212340992
11583232,22.422732,1743572645267497472,1743572645279080704
8860928,22.428928,1743572645329973504,1743572645338834432
11264512,22.429240,1743572645392979200,1743572645404243712
8708864,22.428616,1743572645456778752,1743572645465487616
11929344,22.438517,1743572645520651776,1743572645532581120
9437696,22.447831,1743572645584497664,1743572645593935360
11747072,22.443522,1743572645648148224,1743572645659895296
8829952,22.443501,1743572645710451200,1743572645719281152
13586432,22.443560,1743572645774536960,1743572645788123392
9326592,22.454937,1743572645836931584,1743572645846258176
11458048,22.456512,1743572645898608128,1743572645910066176
